2018-08-09 22:56:09,920 WARN  [pool-10-thread-58] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
2018-08-09 22:56:45,102 WARN  [DefaultUDPTransportMapping_0.0.0.0/0] o.s.Snmp: Received response that cannot be matched to any outstanding request, address=172.20.1.239/161, requestID=1804810444
2018-08-09 23:01:10,057 WARN  [pool-10-thread-60] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
2018-08-09 23:01:49,441 WARN  [DefaultUDPTransportMapping_0.0.0.0/0] o.s.Snmp: Received response that cannot be matched to any outstanding request, address=172.20.1.239/161, requestID=1378307738
2018-08-09 23:06:10,226 WARN  [pool-10-thread-62] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
2018-08-09 23:11:10,846 WARN  [pool-10-thread-64] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
2018-08-09 23:16:10,951 WARN  [pool-10-thread-65] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
2018-08-09 23:21:11,018 WARN  [pool-10-thread-66] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
2018-08-09 23:26:11,092 WARN  [pool-10-thread-67] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
2018-08-09 23:31:11,170 WARN  [pool-10-thread-68] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
2018-08-09 23:36:11,404 WARN  [pool-10-thread-69] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
2018-08-09 23:41:11,466 WARN  [pool-10-thread-70] o.o.n.c.HttpCollector: doCollection: More than 1 Content-Language headers received. Ignoring them!
